Species Name,Description
Triacanthodidae,"The spikefishes (family Triacanthodidae) are ray-finned fishes related to the pufferfishes and triggerfishes. They live in deep waters; more than 50 meters (165 feet), but above the continental shelves. They are found in the Atlantic, Indian Ocean, and the west-central Pacific. The spikefishes are quite variable in form, with some species having tubular snouts (greatly elongated in Halimochirurgus and Macrorhamphosodes), and others have spoon-like teeth for scraping the scales off other fishes. Depending on the exact species involved, they reach a maximum length of about 5–22 centimetres (2.0–8.7 in)."
Triakidae,"The Triakidae or houndsharks are a family of ground sharks, consisting of about 40 species in nine genera. In some classifications, the family is split into two subfamilies, with the genera Mustelus, Scylliogaleus and Triakis in the subfamily Triakinae, and the remainders in the subfamily Galeorhininae. Houndsharks are distinguished by possessing two large, spineless dorsal fins, an anal fin and oval eyes with nictitating eyelids. They are small to medium in size, ranging from 37 to 220 cm (1.21 to 7.22 ft) in adult length. They are found throughout the world in warm and temperate waters, where they feed on small fish and invertebrates on the seabed and in midwater."
Trichiuridae,"The cutlassfishes are about 45 species of predatory ray-finned fish in the family Trichiuridae of the order Scombriformes found in seas throughout the world. Fish of this family are long, slender, and generally steely blue or silver in colour, giving rise to their name. They have reduced or absent pelvic and caudal fins, giving them an eel-like appearance, and large fang-like teeth. Some of the species are known as scabbardfishes or hairtails; others are called frostfishes because they appear in late autumn and early winter, around the time of the first frosts. The earliest known remains of cutlassfish are isolated teeth assigned to Eutrichiurides from the Early Paleocene of Morocco, the United States, and Angola, although their affinities are subject to question."
Trichomycteridae,"Trichomycteridae is a family of catfishes commonly known as pencil catfishes or parasitic catfishes; though only certain species are parasitic, those are some of the few parasitic chordates known. This family is prohibited from being imported into various parts of the United States due to their reputation as parasites. The life monsefuano (Trichomycterus punctulatus) was important to the Moche culture and still an important part of Peruvian cuisine."
Trichonotidae,Trichonotus is a genus of marine gobiiform fishes. Species of Trichonotus are distributed throughout the Indo-West Pacific. This genus is the only member of the family Trichonotidae and of the suborder Trichonotoidei. They are considered the sister group to the gobies (Gobioidei).
Triglidae,"Triglidae, commonly known as gurnards or sea robins, are a family of bottom-feeding scorpaenoid ray-finned fish. The gurnards are distributed in temperate and tropical seas worldwide."
Triodontidae,"Triodon macropterus (common name the threetooth puffer and the black-spot keeled pufferfish) is a tetraodontiform fish, the only living species in the genus Triodon and family Triodontidae. Other members of the family are known from fossils stretching back to the Eocene. The threetooth puffer was first scientifically described by René Lesson in 1831 and is recognizable for its large belly flap which has the ability to blend into the body when fully retracted."
Triportheidae,"Triportheidae, the hatchet characins, is a family of characiform fishes, including about 23 species. This family was raised from the status of a subfamily to family based on extensive analysis of characiform species. Fossils of this group date back to the Oligocene, with the fossil species †Lignobrycon ligniticus (Woodward, 1898) from Brazil."
Tripterygiidae,"Threefin or triplefin blennies are blenniiforms, small percomorph marine fish of the family Tripterygiidae. Found in tropical and temperate waters of the Atlantic, Pacific and Indian Oceans, the family contains about 150 species in 30 genera. The family name derives from the Greek tripteros meaning ""with three wings"". With an elongated, typical blenny form, threefin blennies differ from their relatives by having a dorsal fin separated into three parts (hence the name); the first two are spinous. The small, slender pelvic fins are located underneath the throat and possess a single spine; the large anal fin may have one or two spines."
Trygonorrhinidae,"Trygonorrhinidae, the banjo rays, is a family of rays, comprising eight species in three genera. They were formerly classified in the family Rhinobatidae."
Umbridae,"Umbridae is a family of ray-finned fish in the order Salmoniformes. The single living genus, Umbra, occupies weed-choked freshwater habitats in eastern North America and eastern Europe. While the family traditionally contained the genera Umbra, Novumbra, and Dallia, recent genetic and paleontological research have recovered this grouping as paraphyletic, with Novumbra and Dallia being moved to the family Esocidae."
Uranoscopidae,"The stargazers are a family, Uranoscopidae (from Ancient Greek οὐρανός (ouranós), meaning ""sky, heaven"", and σκοπέω (skopéō), meaning ""to look""), of perciform ray-finned fish that have eyes on top of their heads (hence the name). The family includes about 51 species (one extinct) in eight genera, all marine and found worldwide in shallow and deep saltwaters."
Urolophidae,"The Urolophidae are a family of rays in the order Myliobatiformes, commonly known as stingarees or round stingrays. This family formerly included the genera Urobatis and Urotrygon of the Americas, which are presently recognized as forming their own family Urotrygonidae. Stingarees are found in the Indo-Pacific region, with the greatest diversity off Australia. They are sluggish, bottom-dwelling fish that have been recorded from shallow waters close to shore to deep waters over the upper continental slope. Measuring between 15 and 80 cm (5.9 and 31.5 in) long, these rays have oval to diamond-shaped pectoral fin discs and relatively short tails that terminate in leaf-shaped caudal fins, and may also have small dorsal fins and lateral skin folds."
